Patch_cycle,Platform,version,PSU,JDK,OJVM,Perl
H1_2023,RedHat,11g,Y,Y,Y,N
H1_2023,RedHat,12cR1,Y,Y,Y,N
H1_2023,RedHat,12cR2,N,N,N,N
H1_2023,RedHat,18c,N,N,N,N
H1_2023,RedHat,19c,Y,Y,Y,N
H1_2023,AIX,11g,Y,N,Y,N
H1_2023,AIX,12cR1,Y,N,Y,N
H1_2023,AIX,12cR2,N,N,N,N
H1_2023,AIX,18c,N,N,N,N
H1_2023,AIX,19c,Y,N,Y,N
H1_2023,Windows,11g,N,N,N,N
H1_2023,Windows,12cR1,N,N,N,N
H1_2023,Windows,12cR2,N,N,N,N
H1_2023,Windows,18c,N,N,N,N
H1_2023,Windows,19c,Y,Y,Y,N
H2_2022,RedHat,11g,Y,Y,Y,N
H2_2022,RedHat,12cR1,Y,Y,Y,Y
H2_2022,RedHat,12cR2,N,N,N,N
H2_2022,RedHat,18c,N,N,N,N
H2_2022,RedHat,19c,Y,Y,Y,Y
H2_2022,AIX,11g,Y,Y,Y,N
H2_2022,AIX,12cR1,Y,Y,Y,Y
H2_2022,AIX,12cR2,N,N,N,N
H2_2022,AIX,18c,N,N,N,N
H2_2022,AIX,19c,Y,Y,Y,Y
H2_2022,Windows,11g,Y,Y,Y,N
H2_2022,Windows,12cR1,Y,Y,Y,Y
H2_2022,Windows,12cR2,N,N,N,N
H2_2022,Windows,18c,N,N,N,N
H2_2022,Windows,19c,Y,Y,Y,Y
H1_2022,RedHat,11g,Y,Y,Y,N
H1_2022,RedHat,12cR1,Y,Y,Y,N
H1_2022,RedHat,12cR2,Y,Y,Y,N
H1_2022,RedHat,18c,Y,Y,Y,N
H1_2022,RedHat,19c,Y,Y,Y,N
H1_2022,AIX,11g,Y,N,Y,N
H1_2022,AIX,12cR1,Y,N,Y,N
H1_2022,AIX,12cR2,Y,N,Y,N
H1_2022,AIX,18c,Y,N,Y,N
H1_2022,AIX,19c,Y,N,Y,N
H1_2022,Windows,11g,Y,Y,Y,N
H1_2022,Windows,12cR1,Y,Y,Y,N
H1_2022,Windows,12cR2,Y,Y,Y,N
H1_2022,Windows,18c,N,N,N,N
H1_2022,Windows,19c,Y,Y,Y,N
H2_2021,RedHat,11g,Y,Y,Y,Y
H2_2021,RedHat,12cR1,Y,Y,Y,Y
H2_2021,RedHat,12cR2,Y,Y,Y,Y
H2_2021,RedHat,18c,Y,Y,Y,Y
H2_2021,RedHat,19c,Y,Y,Y,Y
H2_2021,AIX,11g,Y,N,Y,Y
H2_2021,AIX,12cR1,Y,N,Y,Y
H2_2021,AIX,12cR2,Y,N,Y,Y
H2_2021,AIX,18c,Y,Y,Y,Y
H2_2021,AIX,19c,Y,N,Y,Y
H2_2021,Windows,11g,N,Y,Y,Y
H2_2021,Windows,12cR1,Y,Y,Y,Y
H2_2021,Windows,12cR2,Y,Y,Y,Y
H2_2021,Windows,18c,Y,Y,Y,Y
H2_2021,Windows,19c,Y,Y,Y,Y
CURRENT,RedHat,11g,Y,Y,Y,N
CURRENT,RedHat,12cR1,Y,Y,Y,Y
CURRENT,RedHat,12cR2,N,N,N,N
CURRENT,RedHat,18c,N,N,N,N
CURRENT,RedHat,19c,Y,Y,Y,Y
CURRENT,AIX,11g,Y,Y,Y,N
CURRENT,AIX,12cR1,Y,Y,Y,Y
CURRENT,AIX,12cR2,N,N,N,N
CURRENT,AIX,18c,N,N,N,N
CURRENT,AIX,19c,Y,Y,Y,Y
CURRENT,Windows,11g,Y,Y,Y,N
CURRENT,Windows,12cR1,Y,Y,Y,Y
CURRENT,Windows,12cR2,N,N,N,N
CURRENT,Windows,18c,N,N,N,N
CURRENT,Windows,19c,Y,Y,Y,Y
